0,1,2
23,DisclosureOfInterestsInSignificantJointVenturesTable,"Mandatory elements are: 

FormOfJointVenture,
NameOfJointlyControlledEntity,
CountryOfIncorporationOrResidenceOfJointlyControlledEntity,
ProportionOfOwnershipInterestInJointlyControlledEntity
WhetherJointVentureHasBeenConsideredInConsolidation"
24,DisclosureOfDetailsOfSubsidiariesTable in Notes - Consolidated financial statements,All elements are mandatory except for the elements in EffectOfAcquisitionOrDisposalOfSubsidiaryAbstract
25,DetailsOfSubsidiariesTable' in Notes - Subsidiary information,"Mandatory elements are - 

NameOfSubsidiary, 
CountryOfIncorporationOrResidenceOfSubsidiary, 
SectionUnderWhichCompanyBecameSubsidiary, 
WhetherSubsidiaryHasFiledBalanceSheet, 
WhetherFinancialYearOfSubsidiaryDifferentFromFinancialYearOfHoldingCompany   (Modified Element)
StartDateOfAccountingPeriodOfSubsidiary, 
EndDateOfAccountingPeriodOfSubsidiary,  
PercentageOfShareholdingInSubsidiary,
ReportingCurrencyOfSubsidiary,
 ExchangeRateAsApplicableForSubsidiary,
 ShareCapitalOfSubsidiary,
 ReservesAndSurplusOfSubsidiary, 
TotalAssetsOfSubsidiary,
TotalLiabilitiesOfSubsidiary,
InvestmentOfSubsidiary,
 ProfitBeforeTaxOfSubsidiary,
 ProvisionForTaxOfSubsidiary,
 ProfitAfterTaxOfSubsidiary, 
ProposedDividendOfSubsidiary
All elements in KeyInformationAboutSubsidiaryAbstract"
26,DetailsOfRawMaterialsConsumedTable,All elements are mandatory
27,DetailsOfWorkInProgressTable,All elements are mandatory
28,DetailsOfManufacturedAndTradedGoodsTable ,All elements are mandatory
29,DetailsOfPurchasesAndSalesOfTradingCompaniesTable,All elements are mandatory
30,DetailsOfGoodsPurchasedTable,All elements are mandatory
31,DetailsOfRawMaterialsSparePartsAndComponentsConsumedTable ,All elements are mandatory
32,DisclosureOfKeyManagerialPersonnelsAndDirectorsAndRemunerationToKeyManagerialPersonnelsAndDirectorsTable,"Mandatory elements are - 

NameOfDirector, 
DateOfBirthOfKeyManagerialPersonnelOrDirector
DesignationOfKeyManagerialPersonnelOrDirector
QualificationOfKeyManagerialPersonnelOrDirector
SharesHeldByKeyManagerialPersonnelOrDirector
GrossSalaryToKeyManagerialPersonnelOrDirector
KeyManagerialPersonnelOrDirectorRemuneration
"
33,DisclosureOfPrincipalProductOrServicesTable,"All elements are mandatory except -
UnitOfMeasurementOfHighestContributingProductOrService
QuantityOfHighestContributingProductOrServiceInUom
"
34,DetailsRegardingAuditorsTable,"Mandatory elements are - 

CategoryOfAuditor,
NameOfAuditorSigningReport,
MembershipNumberOfAuditor,
AddressOfAuditors
PermanentAccountNumberOfAuditorOrAuditorsFirm,
SRNOfFormADT1
DateOfSigningAuditReportByAuditors,
DateOfSigningOfBalanceSheetByAuditors
"
35,DetailsOfDirectorsSigningFinancialStatementsTable,All elements mandatory except MiddleNameOfDirector and LastNameOfDirector
36,DetailsOfManagerSigningFinancialStatementsTable,All elements mandatory except SecondNameOfManager and LastNameOfManager
37,DisclosuresRelatingToEmployeeStockPurchaseScheme ,"Mandatory elements are -

NumberOfSharesIssuesInEmployeeStockPurchaseScheme
PriceAtWhichSharesAreIssued
ConsiderationReceivedAgainstIssuanceOfShares"
38,DetailsOfDirectorsSigningBoardReportTable,All elements mandatory except MiddleNameOfDirector and LastNameOfDirector
39,DisclosureOfAuditorsQualificationsReservationsOrAdverseRemarksInAuditorsReport Table,"Mandatory elements are -
DisclosureInAuditorsReportRelatingToFixedAssets
DisclosureInAuditorsReportRelatingToInventories
DisclosureInAuditorsReportRelatingToLoans
DisclosureInAuditorsReportRelatingToDepositsAccepted
DisclosureInAuditorsReportRelatingToMaintenanceOfCostRecords
DisclosureInAuditorsReportRelatingToStatutoryDuesTextBlock
DisclosureInAuditorsReportRelatingToDefaultInRepaymentOfFinancialDues
DisclosureInAuditorsReportRelatingToComplianceWithSection185And186OfCompaniesAct2013
DisclosureInAuditorsReportRelatingToPublicOfferAndTermLoansUsedForPurposeForWhichThoseWereRaised
DisclosureInAuditorsReportRelatingToFraudByTheCompanyOrOnTheCompanyByItsOfficersOrItsEmployeesReportedDuringPeriod
DisclosureInAuditorsReportRelatingToManagerialRemuneration
DisclosureInAuditorsReportRelatingToNidhiCompany
DisclosureInAuditorsReportRelatingToTransactionsWithRelatedParties
DisclosureInAuditorsReportRelatingToPreferentialAllotmentOrPrivatePlacementOfSharesOrConvertibleDebentures
DisclosureInAuditorsReportRelatingToNonCashTransactionsWithDirectorsOrPersonsConnectedWithHim
DisclosureInAuditorsReportRelatingToRegistrationUnderSection45IAOfReserveBankOfIndiaAct1934

"
40,DetailsOfContractsArrangementsTransactionsNotAtArmsLengthBasisTable,"
NameOfRelatedParty
NatureOfRelatedPartyRelationship
DescriptionOfNatureOfContractsArrangementsTransactionsWithRelatedParty
DurationOfContractsArrangementsTransactionsWithRelatedParty
DatesOfApprovalOfContractsArrangementsTransactionsWithRelatedPartyByBoard"
41,DetailsOfMaterialContractsArrangementsTransactionsAtArmsLengthBasisTable,"
NameOfRelatedParty
NatureOfRelatedPartyRelationship
DescriptionOfNatureOfMaterialContractsArrangementsTransactionsWithRelatedParty
DurationOfMaterialContractsArrangementsTransactionsWithRelatedParty
DatesOfApprovalOfMaterialContractsArrangementsTransactionsWithRelatedPartyByBoard
WhetherApprovalTakenFromBoardForMaterialContractsorArrangementsorTransactionsWithRelatedParty"
42,ClassificationOfCSRSpendingTable,"ModeOfAmountSpent
CSRProjectOrActivityIdentified"
43,DetailsOfSignatoriesOfSecretarialAuditReportTable,CategoryOfSecretarialAuditor
44,DisclosureOfNetProfitsForLastThreeFinancialYearsLineItems,"DescriptionOfFinancialYear
ProfitBeforeTaxOfFinancialYear
NetProfitComputedUnderSection198AndAdjustedAsPerRule21FOfCompaniesCSRPolicyRules2014"
