0,1,2
NumberOfSharesSubscribedAndFullyPaid,Should be greater than or equal to zero. Should be less than or equal to 'Number of shares Issued' ,
ValueOfSharesSubscribedAndFullyPaid,Should be greater than or equal to zero. Should be less than or equal to 'Value of shares Issued',
NumberOfSharesSubscribedButNotFullyPaid,Should be greater than or equal to zero. Should be less than or equal to 'Number of shares Issued' ,
ValueOfSharesSubscribedButNotFullyPaid,Should be greater than or equal to zero. Should be less than or equal to 'Value of shares Issued',
NumberOfSharesSubscribed,Should be greater than or equal to zero. Should be less than or equal to 'Number of shares Issued',
ValueOfSharesSubscribed,Should be greater than or equal to zero. Should be less than or equal to 'Value of shares Issued',
ValueOfSharesPaidUpAbstract,,
NumberOfSharesPaidUp,Should be greater than or equal to zero. Should be less than or equal to 'Number of shares Subscribed',
ValueOfSharesCalled,"Should be greater than or equal to zero. Should be less than or equal to 'Value of shares Subscribed'.
",
CallsUnpaidAbstract,,
CallsUnpaidByDirectorsAndOfficersAbstract,,
CallsUnpaidByDirectors,,
CallsUnpaidByOfficers,,
CallsUnpaidByDirectorsAndOfficers,,
CallsUnpaidByOthers,,
CallsUnpaid,,
ForfeitedShares,,
ForfeitedSharesReissued,,
ValueOfSharesPaidUp,"Summation of 'Value of Shares paid up' for  'EquitySharesMembers 1..10' and 'PreferenceSharesMembers 1...10' should be equal to value entered in 'Sharecapital' in balance sheet. 
Should be greater than or equal to zero. Should be less than or equal to 'Value of shares Subscribed'",
ParValuePerShare,Should be greater than or equal to zero,
AmountPerShareCalledInCaseSharesNotFullyCalled,Should be greater than or equal to zero,
ReconciliationOfNumberOfSharesOutstandingAbstract,,
NumberOfSharesOutstanding,Should be greater than or equal to zero,
ChangesInNumberOfSharesOutstandingAbstract,,
IncreaseInNumberOfSharesOutstandingAbstract,,
NumberOfSharesIssuedInPublicOffering,Should be greater than or equal to zero,
NumberOfSharesIssuedAsBonusShares,Should be greater than or equal to zero,
NumberOfSharesIssuedAsRights,Should be greater than or equal to zero,
NumberOfSharesIssuedInPrivatePlacementArisingOutOfConversionOfDebenturesPreferenceSharesDuringPeriod,Should be greater than or equal to zero. ,
NumberOfSharesIssuedInOtherPrivatePlacement,Should be greater than or equal to zero,
NumberOfSharesIssuedAsPreferentialAllotmentArisingOutOfConversionOfDebenturesPreferenceSharesDuringPeriod,Should be greater than or equal to zero. ,
NumberOfSharesIssuedAsOtherPreferentialAllotment,Should be greater than or equal to zero,
NumberOfSharesAllottedForContractsWithoutPaymentReceivedInCash,Should be greater than or equal to zero,
NumberOfSharesIssuedUnderSchemeOfAmalgamation,Should be greater than or equal to zero,
