0,1,2
DetailsOfTradeReceivablesDueByDirectorsOtherOfficersOrOthersAbstract,,
TradeReceivablesDueByDirectors,,
TradeReceivablesDueByOtherOfficers,,
TradeReceivablesDueByOthers,,
TradeReceivablesDueByDirectorsOtherOfficersOrOthers,,
DetailsOfTradeReceivablesDueByFirmsOrCompaniesInWhichAnyDirectorIsPartnerOrDirectorAbstract,,
TradeReceivablesDueByFirmsInWhichAnyDirectorIsPartner,,
TradeReceivablesDueByPrivateCompaniesInWhichAnyDirectorIsDirector,,
TradeReceivablesDueByPrivateCompaniesInWhichAnyDirectorIsMember,,
TradeReceivablesDueByFirmsOrCompaniesInWhichAnyDirectorIsPartnerOrDirector,,
ShareTradeReceivablesJointVentures,,
CashAndBankBalancesNotesAbstract,,
DisclosureOfNotesOnCashAndBankBalancesExplanatoryTextBlock,,
CashAndBankBalancesAbstract,,
ClassificationOfCashAndBankBalancesAbstract,,
CashAndCashEquivalentsAbstract,,
BalanceWithBanksAbstract,,
FixedDepositsWithBanks,This is a mandatory field. Should be greater than or equal to zero,
OtherDepositsWithBanks,,
DepositRepaymentReserveAccountWithBanks,,
OtherBalancesWithBanks,,
BalanceWithBanks,This is a mandatory field,
ChequesDraftsOnHand,,
CashOnHand,"This is a mandatory field. 
Should be greater than or equal to zero.",
Others,,
CashAndCashEquivalents,,
OtherBankBalances,,
CashAndBankBalances,This is a mandatory field,
NatureOfOtherCashAndCashEquivalents,,
EarmarkedBalancesWithBanks,,
DetailsOfBalancesHeldWithBanksToExtentHeldAsMarginMoneyOrSecurityAgainstBorrowingsGuaranteesOrOtherCommitmentsAbstract,,
BalancesHeldWithBanksToExtentHeldAsMarginMoney,,
BalancesHeldWithBanksToExtentHeldAsSecurityAgainstBorrowings,,
BalancesHeldWithBanksToExtentHeldAsGuarantees,,
BalancesHeldWithBanksToExtentHeldAgainstOtherCommitments,,
BalancesHeldWithBanksToExtentHeldAsMarginMoneyOrSecurityAgainstBorrowingsGuaranteesOrOtherCommitments,This is a mandatory field.,
RepatriationRestrictionsIfAnyInRespectOfCashAndBankBalances,,
BankDepositsWithMoreThanTwelveMonthsMaturity,This is a mandatory field.,
ShareCashAndCashEquivalentsJointVentures,,
DisclosureOfDetailsOfBalancesWithBanksAbstract,,
DisclosureOfDetailsOfBalancesWithBanksTable,,
DetailsOfBalancesWithBanksAxis,,
DetailsOfBalancesWithBanksLineItems,,
NameOfBank,,
AccountNumberOfBank,,
ClosingBalanceHeldInBank,,
DisclosureOfDetailsOfBalancesWithForeignBanksAbstract,,
DisclosureOfDetailsOfBalancesWithForeignBanksTable,,
DetailsOfBalancesWithForeignBanksAxis,,
DetailsOfBalancesWithForeignBanksLineItems,,
NameOfForeignBank,,
NationalityOfForeignBank,,
BalanceOutstandingWithForeignBank,,
MaximumBalanceOutstandingDuringYearWithForeignBank,,
OtherCurrentAssetsNotesAbstract,,
DisclosureOfNotesOnOtherCurrentAssetsExplanatoryTextBlock,,
OtherCurrentAssetsAbstract,,
UnbilledRevenue,,
UnamortisedPremiumOfForwardContracts,,
OtherUnamortisedExpenses,,
GrossAmountDueFromCustomersForContractWorkCurrent,,
DividendReceivableAbstract,,
DividendReceivableSubsidiaries,,
DividendReceivableOthers,,
DividendReceivable,,
InterestReceivable,,
DerivativeAssets,,
TangibleAssetsHeldForSale,,
OtherCurrentAssetsOthers,,
OtherCurrentAssets,,
NatureOfOtherCurrentAssets,,
ShareOtherCurrentAssetsJointVentures,,
[200700] Notes - Additional disclosures on balance sheet,,
name,,
DisclosureOfAdditionalBalanceSheetNotesExplanatoryTextBlock,,
AdditionalBalanceSheetNotesAbstract,,
ContingentLiabilitiesAndCommitmentsAbstract,,
ClassificationOfContingentLiabilitiesAbstract,,
ClaimsAgainstCompanyNotAcknowledgedAsDebt,,
Guarantees,,
OtherMoneyForWhichCompanyIsContingentlyLiable,,
ContingentLiabilities,,
ClassificationOfCommitmentsAbstract,,
EstimatedAmountOfContractsRemainingToBeExecutedOnCapitalAccountAndNotProvidedFor,,
UncalledLiabilityOnSharesAndOtherInvestmentsPartlyPaid,,
OtherCommitments,,
Commitments,,
NatureOfOtherCommitments,,
ContingentLiabilitiesAndCommitments,This is a mandatory field.,
DetailsRegardingDividendsAbstract,,
AmountOfDividendsProposedToBeDistributedToEquityShareholders,This is a mandatory field in case of standalone instance document. Should be greater than or equal to zero,
AmountOfPerShareDividendProposedToBeDistributedToEquityShareholders,This is a mandatory field in case of standalone instance document. . Should be greater than or equal to zero,
AmountOfDividendsProposedToBeDistributedToPreferenceShareholders,,
AmountOfPerShareDividendProposedToBeDistributedToPreferenceShareholders,Should be greater than or equal to zero,
ArrearsOfFixedCumulativeDividendsOnPreferenceShares,,
PercentageOfProposedDividend,Shall be greater than or equal to zero ,
DetailsOfOutstandingUnutilisedAmountsReceivedInRespectOfIssueOfSecuritiesForSpecificPurposeAbstract,,
DescriptionOfHowOutstandingUnutilisedAmountsReceivedInRespectOfIssueOfSecuritiesForSpecificPurposeAreUsed,,
OutstandingUnutilisedAmountsReceivedInRespectOfIssueOfSecuritiesForSpecificPurpose,,
AmountOfUnutilisedAmountsInvested,,
ExplanationOfOpinionOfBoardIfRealizableValueOfAnyOfAssetsOtherThanFixedAssetsAndNoncurrentInvestmentsIsLessThanItsCarryingAmount,,
DetailsOfDisclosuresRequiredUnderMSMEDAct2006Abstract,,
DetailsOfDisclosuresRequiredUnderMSMEDAct2006Table,,
MicroSmallMediumEnterprisesAxis,,
DetailsOfDisclosuresRequiredUnderMSMEDAct2006LineItems,,
PrincipalAndInterestDueRemainingUnpaidAbstract,,
PrincipalDueRemainingUnpaid,,
InterestDueRemainingUnpaid,,
PrincipalAndInterestDueRemainingUnpaid,,
AmountOfInterestPaidUnderMSMEDAct2006,,
AmountOfPaymentsMadeToSupplierBeyondDueDateDuringYear,,
AmountOfInterestDueAndPayableForPeriod,,
AmountOfInterestAccruedAndRemainingUnpaidAtEndOfAccountingYear,,
AmountOfFurtherInterestDueAndPayableEvenInSucceedingYear,,
MaximumAmountOutstandingForPeriodFromMicroSmallMediumEnterprises,,
NameSupplierBeingMicroSmallMediumEnterprises,,
CINOfMicroSmallAndMediumEnterprise,Valid CIN. Should be different from CIN of filing company (CorporateIdentityNumber).  CIN entered in repetitive dimesnsion members should be unique.,
DetailsOfDisclosureRegardingCompaniesLimitedByGuaranteeAbstract,,
AmountEachMemberUndertakesToContributeAsPerMemorandumOfAssociationInCaseOfCompaniesLimitedByGuaranteeHavingShareCapital,,
AmountEachMemberUndertakesToContributeAsPerMemorandumOfAssociationInCaseOfCompaniesLimitedByGuaranteeNotHavingShareCapital,,
DisclosureOfInformationOnDeviationFromAccountingStandardsBalanceSheetAbstract,,
DisclosureOfInformationOnDeviationFromAccountingStandardsBalanceSheet,,
DisclosureOfReasonsForDeviationFromAccountingStandardsBalanceSheet,,
FinancialEffectOfDeviationFromAccountingStandardsBalanceSheet,,
DisclosureOfInformationOnDerivativeInstrumentsAbstract,,
DisclosureOfCategoryWiseQuantitativeDataAboutOutstandingDerivativeInstrumentsExplanatoryTextBlock,,
DisclosureOfPurposeForWhichDerivativeInstrumentsHaveBeenAcquired,,
DetailsOfShareCapitalHeldByForeignCompaniesAbstract,,
PercentageOfShareCapitalHeldByForeignCompany,Should be greater than or equal to zero. Should not be greater than 100%. Mandatory if 'ValueOfShareCapitalHeldByForeignCompany' is entered.,
ValueOfShareCapitalHeldByForeignCompany,Should be greater than or equal to zero. Mandatory if 'PercentageOfShareCapitalHeldByForeignCompany' is entered.,
PercentageOfPaidUpCapitalHeldByForeignHoldingCompanyAndOrWithItsSubsidiaries,Should be greater than or equal to zero. Should not be greater than 100%. Mandatory if 'ValueOfPaidUpCapitalHeldByForeignHoldingCompanyAndOrWithItsSubsidiaries' is entered.,
ValueOfPaidUpCapitalHeldByForeignHoldingCompanyAndOrWithItsSubsidiaries,Should be greater than or equal to zero. Mandatory if 'PercentageOfPaidUpCapitalHeldByForeignHoldingCompanyAndOrWithItsSubsidiaries' is entered.,
DetailsOfShareholdingPatternOfPromotersAndPublicAbstract,,
DetailsOfShareholdingPatternOfPromotersAndPublicTable,,
ShareholdingPatternOfPromotersAndPublicAxis,,
ShareholdingPatternOfPromotersAndPublicMember,,
PromotersMember,,
PublicShareholdingMember,,
ClassificationBasedOnNationalityOrOriginAxis,,
ClassificationBasedOnNationalityOrOriginMember,,
IndianMember,,
ForeignMember,,
DetailsOfShareholdingPatternOfPromotersAndPublicLineItems,,
NumberOfSharesHeldByIndian,,
PercentageOfSharesHeldByIndian,,
NumberOfSharesHeldByNonResidentIndian,,
PercentageOfSharesHeldByNonResidentIndian,,
NumberOfSharesHeldByForeignNationalOtherThanNonResidentIndian,,
PercentageOfSharesHeldByForeignNationalOtherThanNonResidentIndian,,
NumberOfSharesHeldByCentralGovernment,,
PercentageOfSharesHeldByCentralGovernment,,
NumberOfSharesHeldByStateGovernment,,
PercentageOfSharesHeldByStateGovernment,,
NumberOfSharesHeldByGovernmentCompanies,,
PercentageOfSharesHeldByGovernmentCompanies,,
NumberOfSharesHeldByInsuranceCompanies,,
PercentageOfSharesHeldByInsuranceCompanies,,
NumberOfSharesHeldByBanks,,
PercentageOfSharesHeldByBanks,,
NumberOfSharesHeldByFinancialInstitutions,,
NumberOfSharesHeldByForeignInstitutionalInvestors,,
PercentageOfSharesHeldByForeignInstitutionalInvestors,,
NumberOfSharesHeldByMutualFunds,,
PercentageOfSharesHeldByMutualFunds,,
NumberOfSharesHeldByVentureCapital,,
PercentageOfSharesHeldByVentureCapital,,
NumberOfSharesHeldByBodyCorporate,,
PercentageOfSharesHeldByBodyCorporate,,
NumberOfSharesHeldByOthers,,
PercentageOfSharesHeldByOthers,,
PercentageOfShares,,
NumberOfShareholdersPublic,,
NumberOfShareholdersPromoters,,
NumberOfShareholdersPromotersAndPublic,,
DetailsOfProvisionMadeByNidhiCompaniesAbstract,,
AmountOfProvisionsToBeMadeOnAccountOfIncomeReversalAndNonPerformingAssetsRemainingUnrealised,,
CumulativeAmountProvidedTillPreviousYear,,
AmountProvidedInCurrentYear,,
BalanceAmountToBeProvided,,
DetailsOfDepositsAbstract,,
DepositsAcceptedOrRenewedDuringPeriod,This is a mandatory field. Should be greater than or equal to zero,
DepositsMaturedAndClaimedButNotPaidDuringPeriod,This is a mandatory field. Should be greater than or equal to zero,
DepositsMaturedAndClaimedButNotPaid,This is a mandatory field. Should be greater than or equal to zero,
DepositsMaturedButNotClaimed,This is a mandatory field. Should be greater than or equal to zero,
InterestOnDepositsAccruedAndDueButNotPaid,This is a mandatory field. Should be greater than or equal to zero,
DisclosureOfEquityShareWarrantsAbstract,,
EquityShareWarrants,Should be greater than or equal to zero,
ChangesInEquityShareWarrantsDuringPeriodAbstract,,
AdditionsToEquityShareWarrantsDuringPeriod,Should be greater than or equal to zero,
DeductionsInEquityShareWarrantsDuringPeriod,Should be greater than or equal to zero,
ChangesInEquityShareWarrantsDuringPeriod,,
EquityShareWarrants,Should be greater than or equal to zero,
BreakupOfEquityShareWarrantsAbstract,,
EquityShareWarrantsForExistingMembers,Should be greater than or equal to zero,
EquityShareWarrantsForOthers,Should be greater than or equal to zero,
EquityShareWarrants,Should be greater than or equal to zero,
DetailsOfShareApplicationMoneyReceivedAndPaidAbstract,,
ShareApplicationMoneyReceivedDuringYear,This is mandatory field. Should be greater than or equal to zero,
ShareApplicationMoneyPaidDuringYear,This is mandatory field. Should be greater than or equal to zero,
AmountOfShareApplicationMoneyReceivedBackDuringYear,This is mandatory field. Should be greater than or equal to zero,
AmountOfShareApplicationMoneyRepaidReturnedBackDuringYear,This is mandatory field. Should be greater than or equal to zero,
NumberOfPersonShareApplicationMoneyPaidDuringYear,This is mandatory field. Should be greater than or equal to zero,
NumberOfPersonShareApplicationMoneyReceivedDuringYear,This is mandatory field. Should be greater than or equal to zero,
NumberOfPersonShareApplicationMoneyPaidAsAtEndOfYear,This is mandatory field. Should be greater than or equal to zero,
NumberOfPersonShareApplicationMoneyReceivedAsAtEndOfYear,This is mandatory field. Should be greater than or equal to zero,
ShareApplicationMoneyReceivedAndDueForRefund,,
DisclosureOfWhetherAllAssetsAndLiabilitiesAreRegisteredWithCompany,,
DisclosureOfSalientFeaturesOfArrangementOrAcquisition,,
DisclosureOfDetailsPertainingToOilAndGasProducingCompaniesAbstract,,
MethodOfAccountingFollowedByUpstreamPetroleumIndustry,,
NetQuantitiesOfEnterprisesInterestsInProvedReservesAndProvedDevelopedReservesOfOilIncludingCondensateAndNaturalGasLiquidsAndGasAsAtBeginningAndAdditionsDeductionsProductionAndClosingBalanceForYearExplanatoryTextBlock,,
NetQuantitiesOfEnterprisesInterestInProvedReservesAndProvedDevelopedReservesOfOilAndGasOnGeographicalBasisExplanatoryTextBlock,,
DetailsOnSweatEquitySharesAbstract,,
AmountOfSweatEquitySharesIssued,,
DetailsRegardingCostRecordsAndCostAuditAbstract,,
DetailsRegardingCostRecordsAndCostAuditExplanatoryTextBlock,,
DetailsRegardingCostRecordsAbstract,,
WhetherMaintenanceOfCostRecordsByCompanyHasBeenMandatedUnderCompaniesCostRecordsAndAuditRules2014      ,This is a mandatory field in case of standalone instance document only.,
IfYesCentralExciseTariffActHeadingInWhichProductOrServiceIsCoveredUnderCostRecords,Mandatory if Yes is selected in 'WhetherMaintenanceOfCostRecordsByTheCompanyHasBeenMandatedUnderCompaniesCostRecordsAndAuditRules2014',
DetailsRegardingCostAuditAbstract,,
"
WhetherAuditOfCostRecordsOfCompanyHasBeenMandatedUnderRulesSpecifiedInSN1",Mandatory if Yes is selected in 'WhetherMaintenanceOfCostRecordsByTheCompanyHasBeenMandatedUnderCompaniesCostRecordsAndAuditRules2014',
"
IfYesCentralExciseTariffActHeadingInWhichProductOrServiceIsCoveredUnderCostAudit",This is a mandatory field if Yes is selected in 'WhetherAuditOfCostRecordsOfTheCompanyHasBeenMandatedUnderRulesSpecifiedInSN1',
NetWorthOfCompany,,
DisclosureOfDatesRegardingUnclaimedAmountsAbstract,,
DisclosureOfDatesFromWhichDividendIsUnclaimedBeyondSevenYearsExplanatoryTextBlock,,
DateFromWhichDividendIsUnclaimedBeyondSevenYears,,
DisclosureOfDatesFromWhichDepositsIsUnclaimedBeyondSevenYearsExplanatoryTextBlock,,
DateFromWhichDepositsIsUnclaimedBeyondSevenYears,,
DisclosureOfDatesFromWhichShareApplicationMoneyIsUnclaimedBeyondSevenYearsExplanatoryTextBlock,,
DateFromWhichShareApplicationMoneyIsUnclaimedBeyondSevenYears,,
DisclosureOfDatesFromWhichInterestOnDepositsIsUnclaimedBeyondSevenYearsExplanatoryTextBlock,,
DateFromWhichInterestOnDepositsIsUnclaimedBeyondSevenYears,,
DisclosureOfDatesFromWhichDebenturesIsUnclaimedBeyondSevenYearsExplanatoryTextBlock,,
DateFromWhichDebenturesIsUnclaimedBeyondSevenYearsExplanatory,,
DisclosureOfDatesFromWhichInterestOnDebenturesIsUnclaimedBeyondSevenYearsExplanatoryTextBlock,,
DateFromWhichInterestOnDebenturesIsUnclaimedBeyondSevenYears,,
DisclosurePertainingToCompaniesAcceptanceOfDepositRulesAbstract,,
DisclosureInAccordanceWithCeilingsForLiquidAssetsAndSmallDepositorsExplanatoryTextBlock,,
DetailsOfUnclaimedLiabilitiesAbstract,,
UnclaimedShareApplicationRefundMoney,"This is a mandatory field. 
Should be greater than or equal to zero.",
UnclaimedMaturedDebentures,"This is a mandatory field. 
Should be greater than or equal to zero.",
UnclaimedMaturedDeposits,"This is a mandatory field. 
Should be greater than or equal to zero.",
InterestUnclaimedAmount,"This is a mandatory field. 
Should be greater than or equal to zero.",
DetailsOfAcquisitionAndDisposalOfInvestmentsAbstract,,
AcquisitionAndDisposalOfInvestmentsTable,,
AcquisitionAndDisposalOfInvestmentsAxis,,
AcquisitionAndDisposalOfInvestmentsLineItems,,
NatureOfInvestmentPurchasedOrSoldDuringPeriod,,
TypeOfInvestment,,
NumberOfUnitsPurchased,Should be greater than or equal to zero,
FaceValueOfUnitsPurchased,Should be greater than or equal to zero,
PurchasePricePerUnit,Should be greater than or equal to zero,
NumberOfUnitsSold,Should be greater than or equal to zero,
SellingPricePerUnit,Should be greater than or equal to zero,
FinancialParametersBalanceSheetItemsAbstract,,
InvestmentInSubsidiaryCompanies,,
InvestmentInGovernmentCompanies,,
AmountDueForTransferToInvestorEducationAndProtectionFund,,
NumberOfWarrantsConvertedIntoEquitySharesDuringPeriod,This is a mandatory field,
NumberOfWarrantsConvertedIntoPreferenceSharesDuringPeriod,This is a mandatory field,
NumberOfWarrantsConvertedIntoDebenturesDuringPeriod,This is a mandatory field,
NumberOfWarrantsIssuedDuringPeriodInForeignCurrency,This is a mandatory field,
NumberOfWarrantsIssuedDuringPeriodINR,This is a mandatory field,
NumberOfShareholdersToWhomSharesAreAllottedUnderPrivatePlacementDuringPeriod,,
,,
"[200800] Notes - Disclosure of accounting policies, changes in accounting policies and estimates",,
name,,
DisclosureOfAccountingPoliciesChangeInAccountingPoliciesAndChangesInEstimatesExplanatoryTextBlock,This is mandatory in case of current financial year.,
DisclosureOfGeneralInformationAboutCompanyTextBlock,,
DisclosureOfAccountingPoliciesExplanatoryTextBlock,,
ChangesInAccountingEstimateAndAccountingPolicyExplanatoryTextBlock,,
DescriptionOfChangesInAccountingEstimatesAbstract,,
NatureOfChangesInAccountingEstimate,,
AmountOfChangesInAccountingEstimateHavingMaterialEffectInCurrentPeriod,,
AmountOfChangesInAccountingEstimateHavingMaterialEffectInSubsequentPeriod,,
DescriptionOfFactThatChangeInEstimateIsNotQuantifiable,,
DescriptionOfChangesInAccountingPolicyAbstract,,
DescriptionOfChangeInAccountingPolicy,,
NewPolicyOfAccounting,,
OldPolicyOfAccounting,,
ReasonForChangingAccountingPolicies,,
DescriptionOfImpactOfAndAdjustmentsResultingFromChangeInAccountingPolicy,,
DescriptionOfFactThatEffectOfChangeInAccountingPolicyIsNotAscertainable,,
DescriptionOfFactThatFundamentalAccountingAssumptionIsNotFollowed,,
[200900] Notes - Events occurring after balance sheet date,,
name,,
DisclosureOfEventsOccurringAfterBalanceSheetDateExplanatoryTextBlock,,
DescriptionOfNatureOfEventAfterBalanceSheetDate,,
EstimateOfFinancialEffectOfEventAfterBalanceSheetDate,,
DescriptionOfStatementOfFactThatEstimateOfFinancialEffectOfEventAfterBalanceSheetDateCouldNotBeMade,,
[201000] Notes - Tangible assets,,
name,,
DisclosureOfNotesOnTangibleAssetsExplanatoryTextBlock,,
DisclosureOfAccountingPolicyOnTangibleAssetsTextBlock,,
DisclosureOfTangibleAssetsAbstract,,
DisclosureOfTangibleAssetsTable,This Table is Mandatory if value entered in 'TangibleAssets' in Balance sheet is greater than zero.,
ClassesOfTangibleAssetsAxis,,
CompanyTotalTangibleAssetsMember,,
LandMember,,
BuildingsMember,,
ResidentialBuildingMember,,
OfficeBuildingMember,,
FactoryBuildingMember,,
OtherBuildingMember,,
PlantAndEquipmentMember,,
FactoryEquipmentsMember,,
EmissionReductionEquipmentMember,,
OtherPollutionReductionEquipmentMember,,
OtherPlantAndEquipmentMember,,
FurnitureAndFixturesMember,,
VehiclesMember,,
ShipsVesselsMember,,
AircraftsHelicoptersMember,,
MotorVehiclesMember,,
OfficeEquipmentMember,,
ComputerEquipmentsMember,,
LeaseholdImprovementsMember,,
OtherTangibleAssetsMember,,
LivestockMember,,
BridgesRoadsPortsCulvertsMember,,
RailwaySidingsMember,,
BooksPeriodicalsMember,,
PlantationsMember,,
MinesQuarriesMember,,
OtherTangibleAssetsOthersMember,,
SubClassesOfTangibleAssetsAxis,,
OwnedAndLeasedAssetsMember,,
AssetsHeldUnderLeaseMember,,
AssetsGivenUnderOperatingLeaseMember,,
OwnedAssetsMember,,
CarryingAmountAccumulatedDepreciationAndGrossCarryingAmountAxis,,
CarryingAmountMember,,
GrossCarryingAmountMember,,
AccumulatedDepreciationAndImpairmentMember,,
DisclosureOfTangibleAssetsLineItems,,
NatureOfOtherTangibleAssets,Mandatory in case of OtherTangibleAssetsOthersMember,
ReconciliationOfChangesInTangibleAssetsAbstract,,
TangibleAssets,"Should be greater than equal to zero. 

Value in  CarryingAmountMember should be equal to 'GrossCarryingAmountMember' less 'AccumulatedDepreciationAndImpairmentMember'",
ChangesInTangibleAssetsAbstract,,
AdditionsOtherThanThroughBusinessCombinationsTangibleAssets,,
AcquisitionsThroughBusinessCombinationsTangibleAssets,,
DepreciationTangibleAssets,,
ImpairmentLossRecognisedInProfitOrLossTangibleAssets,,
ReversalOfImpairmentLossRecognisedInProfitOrLossTangibleAssets,,
RevaluationIncreaseDecreaseTangibleAssets,,
DisposalsTangibleAssetsAbstract,,
DisposalsTangibleAssetsThroughDemergers,,
DisposalsTangibleAssetsOthers,,
DisposalsTangibleAssets,,
OtherAdjustmentsTangibleAssetsAbstract,,
IncreaseDecreaseThroughNetExchangeDifferencesTangibleAssets,,
OtherAdjustmentsTangibleAssetsOthers,,
OtherAdjustmentsTangibleAssets,,
ChangesInTangibleAssets,Value in  CarryingAmountMember should be equal to 'GrossCarryingAmountMember' less 'AccumulatedDepreciationAndImpairmentMember',
TangibleAssets,"Should be greater than equal to zero. 

Summation of CarryingAmountMember for the following first level child members in ClassesOfTangibleAssetsAxis  should be equal to 'TangibleAssets' in Balance sheet:
LandMember
BuildingsMember
PlantAndEquipmentMember
FurnitureAndFixturesMember
VehiclesMember
OfficeEquipmentMember
ComputerEquipmentMember
LeaseholdImprovementsMember
OtherTangibleAssetsMember

",
DisclosureOfAdditionalInformationTangibleAssetsAbstract,,
DisclosureOfAdditionalInformationTangibleAssetsTable,This Table is Mandatory if value entered in 'TangibleAssets' in financial statements is greater than zero.,
ClassesOfTangibleAssetsAxis,,
CompanyTotalTangibleAssetsMember,,
LandMember,,
BuildingsMember,,
ResidentialBuildingMember,,
OfficeBuildingMember,,
FactoryBuildingMember,,
OtherBuildingMember,,
PlantAndEquipmentMember,,
FactoryEquipmentsMember,,
EmissionReductionEquipmentMember,,
OtherPollutionReductionEquipmentMember,,
OtherPlantAndEquipmentMember,,
FurnitureAndFixturesMember,,
VehiclesMember,,
ShipsVesselsMember,,
AircraftsHelicoptersMember,,
MotorVehiclesMember,,
OfficeEquipmentMember,,
ComputerEquipmentsMember,,
LeaseholdImprovementsMember,,
OtherTangibleAssetsMember,,
LivestockMember,,
BridgesRoadsPortsCulvertsMember,,
RailwaySidingsMember,,
BooksPeriodicalsMember,,
PlantationsMember,,
MinesQuarriesMember,,
OtherTangibleAssetsOthersMember,,
SubClassesOfTangibleAssetsAxis,,
OwnedAndLeasedAssetsMember,,
AssetsHeldUnderLeaseMember,,
AssetsGivenUnderOperatingLeaseMember,,
OwnedAssetsMember,,
DisclosureOfAdditionalInformationTangibleAssetsLineItems,,
DepreciationMethodTangibleAssets,,
UsefulLivesOrDepreciationRatesTangibleAssets,,
DescriptionOfJustificationForUsingHigherRatesOfDepreciationThanPrescribedRate,,
ExplanationOnRevaluationOfFixedAssetsAbstract,,
ExplanationOfBasisForRevaluationOnSystematicBasis,,
ExplanationOfRevaluationMethodsTangibleAssets,,
NatureOfIndicesUsedInRevaluation,,
YearOfAppraisalMade,,
DescriptionOfWhetherIndependentValuerWasUsedForValuationOfTangibleAssets,,
AdditionalDepreciationOnRevaluedAmountOfTangibleAssetsDisclosedSeparatelyIfMaterial,,
TangibleAssetsCarryingAmountOfAssetsRetiredFromActiveUse,,
AmountOfReductionOrIncreaseToTangibleAssetsDueToRevaluationOfAssetsOrReductionOfCapitalAsApplicableExplanatoryTextBlock,,
DateOfSuchReductionOrIncreaseToTangibleAssetsExplanatoryTextBlock,,
TangibleAssetsRestrictionsOnTitleAbstract,,
DescriptionOfExistenceOfRestrictionsOnTitleTangibleAssets,,
TangibleAssetsPurchasedOnHirePurchase,,
TangibleAssetsJointlyOwnedByEnterpriseAndAccountedForOnProRataBasis,,
ExpenditureIncurredOnAccountOfTangibleAssetsInCourseOfConstructionOrAcquisition,,
ShareTangibleAssetsJointVenturesNet,,
[201100] Notes - Intangible assets,,
name,,
DisclosureOfNotesOnIntangibleAssetsExplanatoryTextBlock,,
DisclosureOfIntangibleAssetsAbstract,,
DisclosureOfIntangibleAssetsTable,Table is mandatory if amount of 'IntangibleAssets' in Balance Sheet is greater than zero.,
ClassesOfIntangibleAssetsAxis,,
CompanyTotalIntangibleAssetsMember,,
GoodwillMember,,
GoodwillOnConsolidationSubsidiariesMember,,
GoodwillOnInvestmentsJointVenturesMember,,
BrandsAndTradeMarksMember,,
BrandsMember,,
TradeMarksMember,,
ComputerSoftwareMember,,
MastheadsAndPublishingTitlesMember,,
MiningRightsMember,,
CopyrightsPatentsAndOtherOperatingRightsMember,,
CopyrightsMember,,
PatentsMember,,
OtherIntellectualPropertyRightsMember,,
ServicesAndOperatingRightsMember,,
RecipesFormulaeModelsDesignsAndPrototypesMember,,
RecipesMember,,
FormulaeMember,,
ModelsMember,,
DesignsMember,,
PrototypesMember,,
LicensesAndFranchiseMember,,
LicensesMember,,
ExplorationLicenseMember,,
FranchiseMember,,
OtherIntangibleAssetsMember,,
KnowhowMember,,
CommercialContractualRightsMember,,
OtherIntangibleAssetsOthersMember,,
SubClassesOfIntangibleAssetsAxis,,
InternallyGeneratedAndOtherThanInternallyGeneratedIntangibleAssetsMember,,
InternallyGeneratedIntangibleAssetsMember,,
IntangibleAssetsOtherThanInternallyGeneratedMember,,
CarryingAmountAccumulatedAmortizationAndImpairmentAndGrossCarryingAmountAxis,,
CarryingAmountMember,,
GrossCarryingAmountMember,,
AccumulatedAmortizationAndImpairmentMember,,
DisclosureOfIntangibleAssetsLineItems,,
NatureOfOtherIntangibleAssets,Mandatory in case of OtherIntangibleAssetsOthersMember,
ReconciliationOfChangesInIntangibleAssetsAbstract,,
IntangibleAssets,"Should be greater than equal to zero. 

Value in CarryingAmountMember should be equal to 'GrossCarryingAmountMember' less 'AccumulatedAmortizationAndImpairmentMember'",
ChangesInIntangibleAssetsAbstract,,
AdditionsToIntangibleAssetsAbstract,,
AdditionsThroughInternalDevelopment,,
AdditionsOtherThanThroughBusinessCombinationsIntangibleAssets,,
AcquisitionsThroughBusinessCombinationsIntangibleAssets,,
AdditionsToIntangibleAssets,,
AmortizationIntangibleAssets,,
ImpairmentLossRecognisedInProfitOrLossIntangibleAssets,,
ReversalOfImpairmentLossRecognisedInProfitOrLossIntangibleAssets,,
RevaluationIncreaseDecreaseIntangibleAssets,,
DisposalsIntangibleAssetsAbstract,,
DisposalsIntangibleAssetsThroughDemergers,,
DisposalsIntangibleAssetsOthers,,
DisposalsIntangibleAssets,,
RetirementsOfIntangibleAssets,,
OtherAdjustmentsIntangibleAssetsAbstract,,
IncreaseDecreaseThroughNetExchangeDifferencesIntangibleAssets,,
OtherAdjustmentsIntangibleAssetsOthers,,
OtherAdjustmentsIntangibleAssets,,
ChangesInIntangibleAssets,"
Value in  CarryingAmountMember should be equal to 'GrossCarryingAmountMember' less 'AccumulatedAmortizationAndImpairmentMember'",
IntangibleAssets,"Should be greater than equal to zero. 

Summation of CarryingAmountMember for the following members in ClassesOf IntangibleAssetsAxis should be equal to 'IntangibleAssets' in Balance sheet:
GoodwillMember
BrandsAndTradeMarksMember
ComputerSoftwareMember
MastheadsAndPublishingTitlesMember
MiningRightsMember
CopyrightsPatentsAndOtherOperatingRightsMember
RecipesFormulaeModelsDesignsAndPrototypesMember
LicensesAndFranchiseMember
OtherIntangibleAssetsMember

",
DisclosureOfAdditionalInformationIntangibleAssetsAbstract,,
DisclosureOfAdditionalInformationIntangibleAssetsTable,This Table is Mandatory if value entered in 'IntangibleAssets' in Balance sheet is greater than zero.,
ClassesOfIntangibleAssetsAxis,,
CompanyTotalIntangibleAssetsMember,,
